point_id,traj,lon,lat,year,ndvi_median,n_images_that_year
c2_004,2,-89.978847,21.15022850036621,1999.0,0.7118001580238342,62
c2_005,2,-90.089329,21.09364128112793,1999.0,0.7665764093399048,62
c2_006,2,-90.11412048339844,21.100377,1999.0,0.6232662200927734,62
c2_007,2,-90.106036,21.131635665893555,1999.0,0.6630345582962036,62
c2_008,2,-90.001213,21.145379,1999.0,0.7088740468025208,62
c2_009,2,-89.963217,21.183913,1999.0,0.4999837577342987,62
c2_010,2,-90.10226440429688,21.144301,1999.0,0.5449190139770508,62
c2_011,2,-89.958636,21.125438,1999.0,0.7668769359588623,62
c2_012,2,-90.097413,21.149959564208984,1999.0,0.5675742030143738,62
c2_013,2,-90.100647,21.106845,1999.0,0.5909039974212646,62
c2_014,2,-90.04594421386719,21.111156463623047,1999.0,0.5306804180145264,62
c2_015,2,-90.068849,21.102802276611328,1999.0,0.7641372680664062,62
c2_016,2,-90.118162,21.135947,1999.0,0.3017650544643402,62
c2_017,2,-89.96214294433594,21.120587,1999.0,0.7686460018157959,62
c2_018,2,-89.981541,21.148343,1999.0,0.5311374664306641,62
c2_019,2,-90.041364,21.101186,1999.0,0.7461366653442383,62
c2_020,2,-90.082592,21.10064697265625,1999.0,0.7239614129066467,62
c2_021,2,-89.945163,21.161008,1999.0,0.6167617440223694,62
c2_022,2,-90.01280212402344,21.118162155151367,1999.0,0.7372707724571228,62
c2_023,2,-89.94165802001953,21.17879295349121,1999.0,0.5032158493995667,62
c2_024,2,-89.940043,21.179332,1999.0,0.5773579478263855,62
c2_025,2,-89.942199,21.169092178344727,1999.0,0.6117859482765198,62
c2_026,2,-90.04837036132812,21.15858268737793,1999.0,0.42797306180000305,62
c2_027,2,-90.018189,21.155078887939453,1999.0,0.6283712387084961,62
c2_028,2,-90.018998,21.118701,1999.0,0.6625904440879822,62
c2_029,2,-89.960253,21.166936,1999.0,0.8136998414993286,62
c2_030,2,-90.08636474609375,21.13918113708496,1999.0,0.6400119662284851,62
c2_031,2,-90.006871,21.167745,1999.0,0.3661472201347351,62
c2_032,2,-89.9599838256836,21.15750503540039,1999.0,0.5134443044662476,62
c2_033,2,-90.052412,21.115737,1999.0,0.6900632977485657,62
c2_034,2,-90.075586,21.099569,1999.0,0.661828875541687,62
c2_035,2,-90.108731,21.095796,1999.0,0.5950596332550049,62
c2_036,2,-90.026543,21.155078887939453,1999.0,0.7907369136810303,62
c2_037,2,-90.006871,21.131097,1999.0,0.6783654093742371,62
c2_038,2,-90.080167,21.099838256835938,1999.0,0.7359277606010437,62
c2_039,2,-89.947588,21.136486053466797,1999.0,0.7966396808624268,62
c2_040,2,-90.061304,21.10468864440918,1999.0,0.7455832362174988,62
c2_041,2,-90.075856,21.134868621826172,1999.0,0.6915428042411804,62
c2_042,2,-89.99959564208984,21.12004852294922,1999.0,0.6731529831886292,62
c2_043,2,-90.101725,21.08043670654297,1999.0,0.7452260255813599,62
c2_044,2,-90.026004,21.113851,1999.0,0.7562493681907654,62
c2_045,2,-90.118162,21.129209518432617,1999.0,0.6149289011955261,62
c2_046,2,-89.94139099121094,21.172056198120117,1999.0,0.7359765768051147,62
c2_047,2,-89.969685,21.1402587890625,1999.0,0.7758768200874329,62
c2_048,2,-90.1038818359375,21.095527,1999.0,0.5881432294845581,62
c2_049,2,-89.99231719970703,21.149690628051758,1999.0,0.6081921458244324,62
c2_050,2,-89.950822,21.121396,1999.0,0.8063827157020569,62
c3_045,3,-89.992859,21.161815643310547,1999.0,0.08470724523067474,62
c3_003,3,-90.034357,21.15858268737793,1999.0,0.135447695851326,62
c3_026,3,-89.986931,21.149959564208984,1999.0,0.8065458536148071,62
c3_008,3,-90.084209,21.151576,1999.0,0.2104654610157013,62
c3_017,3,-89.970493,21.159929275512695,1999.0,0.6863837242126465,62
c3_004,3,-89.982619,21.180679,1999.0,0.14457790553569794,62
c3_040,3,-89.9742660522461,21.185529708862305,1999.0,0.7683216333389282,62
c3_024,3,-89.97722625732422,21.183913,1999.0,0.7382439970970154,62
c3_013,3,-89.995823,21.13837242126465,1999.0,0.7578741312026978,62
c3_018,3,-90.062113,21.107114,1999.0,0.811743438243866,62
c3_007,3,-90.088521,21.146995,1999.0,0.2168460339307785,62
c3_014,3,-89.951361,21.199003219604492,1999.0,0.6882370710372925,62
c3_042,3,-89.950283,21.199003219604492,1999.0,0.6688728928565979,62
c3_029,3,-90.000135,21.137563705444336,1999.0,0.7023326754570007,62
c3_005,3,-90.003638,21.111964,1999.0,0.7130422592163086,62
c3_022,3,-90.005524,21.112503051757812,1999.0,0.73702073097229,62
c3_002,3,-89.953786,21.197656,1999.0,0.6799909472465515,62
c3_015,3,-89.940852,21.162086486816406,1999.0,0.6748886108398438,62
c3_020,3,-90.016842,21.116006,1999.0,0.7535014748573303,62
c3_027,3,-89.982619,21.149421,1999.0,0.6165337562561035,62
c3_030,3,-89.942738,21.1674747467041,1999.0,0.5623182654380798,62
c3_050,3,-89.941929,21.168553,1999.0,0.42670828104019165,62
c3_009,3,-89.986392,21.149959564208984,1999.0,0.7963318228721619,62
c3_033,3,-90.039208,21.102802276611328,1999.0,0.7279416918754578,62
c3_038,3,-89.976152,21.169361114501953,1999.0,0.545038104057312,62
c3_023,3,-89.97183990478516,21.169361114501953,1999.0,0.5869272351264954,62
c3_032,3,-90.00040435791016,21.138642,1999.0,0.5908083915710449,62
c3_046,3,-89.994476,21.137832641601562,1999.0,0.5535622239112854,62
c3_025,3,-89.947049,21.157235,1999.0,0.6956988573074341,62
